Holding,Symbol,NormalizedName,PaperCount,PaperFamilyCount,CitationCount
Power Integrations,POWI,central water and power research station,254,254,1867
FLIR Systems,FLIR,flir systems,675,534,7410
Pure Storage,PSTG,wako pure chemical industries ltd,584,453,8160
Advanced Energy Industries,AEIS,alberta advanced education,8,8,49
Coherent,COHR,coherent inc,833,757,11866
CMC Materials,CCMP,cmc limited,28,27,564
Itron,ITRI,itron,607,495,8442
Digital Turbine,APPS,digital public library of america,9,8,9
KBR,KBR,kbr,349,309,3626
New Relic,NEWR,museum of the city of new york,19,19,33
Box,BOX,box hill hospital,1233,1226,49171
Cloudera,CLDR,cloudera,85,76,2255
Insight Enterprises,NSIT,global insight,36,33,662
Kulicke & Soffa Industries,KLIC,kulicke and soffa industries inc,248,233,4364
Cornerstone Ondemand,CSOD,cornerstone research,543,490,9098
InterDigital,IDCC,interdigital inc,4303,3230,110582
ViaSat,VSAT,viasat,686,454,7872
Amkor Technology,AMKR,amkor technology,1103,911,24786
OSI Systems,OSIS,osi pharmaceuticals,409,368,22962
PDF Solutions,PDFS,pdf solutions,278,237,2824
SMART Global Holdings,SGH,smart technologies,310,269,8427
Axcelis Technologies,ACLS,axcelis technologies,608,530,8020
nLIGHT,LASR,nlight,123,123,986
Sykes Enterprises,SYKE,sykes enterprises,149,137,1290
Ultra Clean Holdings,UCTT,ultra,2753,2589,27929
Impinj,PI,impinj,271,194,3652
CEVA,CEVA,ceva logistics,793,739,6854
Photronics,PLAB,photronics inc,376,363,1628
Switch,SWCH,switch,2039,1951,19460
Super Micro Computer,SMCI,max super speciality hospital,568,567,1950
Extreme Networks,EXTR,extreme networks,349,302,11586
American Software,AMSWA,american school of classical studies at athens,91,91,786
Avid Technology,AVID,avid radiopharmaceuticals,239,237,9679
International Money Express,IMXI,helpage international,45,45,988
Ribbon Communications,RBBN,white ribbon alliance,18,18,98
Casa Systems,CASA,casa sollievo della sofferenza,6209,6185,181895
Grid Dynamics Holdings,GDYN,grid arendal,63,63,1767
Tesla Inc,TSLA,ericsson nikola tesla,391,386,1656
Plug Power Inc.,PLUG,plug power,216,193,4120
Toyota Motor Corp.,7203,toyota motorsport gmbh,21,18,75
General Electric Company,GE,mallow general hospital,43,43,418
General Motors Company,GM,mallow general hospital,43,43,418
BlackBerry Limited,BB,blackberry limited,8199,7212,179091
Honeywell International Inc.,HON,honeywell aerospace,388,373,3541
Daimler AG,DAI,daimler ag,48046,41424,325178
KIA Motors Corporation,270,kia motors,7482,5366,24755
Hyundai Motor Company,5380,hyundai heavy industries,1002,955,6014
Ford Motor Company,F,henry ford museum,9,9,33
Albemarle Corporation,ALB,college of the albemarle,8,7,104
Johnson Controls International plc,JCI,watkins johnson company,169,163,2705
Volkswagen AG Pref,VOW3,volkswagen,16466,14752,90808
Visteon Corporation,VC,visteon,4552,3400,45959
Panasonic Corporation,6752,panasonic electric works,874,703,16344
DENSO CORPORATION,6902,denso,28786,20261,236596
Ballard Power Systems Inc.,BLDP,ballard power systems,988,767,24601
GS Yuasa Corporation,6674,gs caltex,170,158,3624
Continental AG,CON,addis continental institute of public health,233,231,4057
Allegheny Technologies Incorporated,ATI,allegheny county library association,5,5,0
Gentherm Incorporated,THRM,gentherm incorporated,157,96,2779
Aperam SA,APAM,aperam,207,200,1023
Dana Incorporated,DAN,dana foundation,3,3,19
Renault SA,RNO,renault,9761,7487,60225
Lear Corporation,LEA,lear siegler,544,516,6101
Yandex NV Class A,YNDX,yandex,1737,1605,17335
Autoliv Inc.,ALV,autoliv,3736,3083,27722
Westinghouse Air Brake Technologies Corporation,WAB,westinghouse astronuclear laboratory,32,31,446
Umicore,UMI,umicore,1583,1273,19457
Johnson Matthey Plc,JMAT,watkins johnson company,169,163,2705
TomTom NV,TOM2,tomtom netherlands,5,3,12
Carpenter Technology Corporation,CRS,carpenter technology corporation,222,213,2099
BorgWarner Inc.,BWA,borgwarner inc,6721,5381,62017
Cabot Corporation,CBT,cabot corporation,1518,1147,32524
Samsung Electronics Co.,5930,samsung economic research institute,130,122,3716
Baidu,BIDU,baidu,4264,3065,44468
Honda Motor Co.,7267,honda r d americas,411,400,3735
Nissan Motor Co.,7201,nissan motor manufacturing uk,115,99,330
ITT,ITT,itt technical institute,26,25,131
American Axle & Manufacturing Holdings,AXL,american school of classical studies at athens,91,91,786
Fanuc Corporation,6954,fanuc,7060,4556,40564
ABB Ltd.,ABBN,abb ltd,7088,5686,74016
Yaskawa Electric Corporation,6506,yaskawa electric corporation,237,222,2926
OMRON Corporation,6645,omron,6802,5021,69676
Mitsubishi Electric Corp.,6503,mitsubishi,58096,44639,857428
SMC Corporation,6273,smc corporation japan,5,5,17
John Bean Technologies Corporation,JBT,john snow inc,359,358,8115
iRobot Corporation,IRBT,irobot,416,347,19312
IDEC Corporation,6652,idec corporation,38,35,395
Autonomous Control Systems Laboratory Ltd.,6232,st xavier s college autonomous mumbai,2143,2079,16496
Intuitive Surgical,ISRG,intuitive surgical,1418,1014,80991
AeroVironment,AVAV,aerovironment,246,211,8725
AI inside,4488,jen ai hospital,476,474,7143
Shibaura Machine Co.,6104,shibaura institute of technology,6842,6614,47473
Neural Pocket,4056,center for neural science,3009,2917,225956
