,index,Unnamed: 0,Unnamed: 0.1,symbol,shortName,stockName,githubUser,verified,notes,website,industry
55,60,62,STX,STX,seagate technology,Seagate Technology PLC,seagate,1,,,Electronic Components
56,61,63,BAH,BAH,booz allen hamilton,Booz Allen Hamilton Holding Corporation Class A,boozallen,0,referred to in the official site,,Professional Services
57,62,64,CIEN,CIEN,ciena,Ciena Corporation,ciena,0,,,Telecommunications Equipment
58,63,65,SLAB,SLAB,silicon labs,Silicon Laboratories Inc.,siliconlabs,0,referred to in the official site,,Semiconductors
59,64,66,MSTR,MSTR,microstrategy,MicroStrategy Incorporated Class A,microstrategy,0,,,Computer Software: Prepackaged Software
60,65,67,TDC,TDC,teradata,Teradata Corporation,teradata,0,referred to in the official site,,EDP Services
61,66,68,UIS,UIS,unisys,Unisys Corporation,unisys,0,,,EDP Services
62,67,69,PLTR,PLTR,palantir technologies,Palantir Technologies Inc. Class A,palantir,1,,,Retail: Computer Software & Peripheral Equipment
63,68,70,XLNX,XLNX,xilinx,Xilinx,xilinx,0,,,Semiconductors
64,69,71,FTNT,FTNT,fortinet,Fortinet,fortinet,1,,,Diversified Manufacture
65,70,72,EPAM,EPAM,epam systems,EPAM Systems,epam,1,,,EDP Services
66,71,73,AKAM,AKAM,akamai technologies,Akamai Technologies,akamai,1,,,Business Services
67,72,74,CTXS,CTXS,citrix systems,Citrix Systems,citrix,1,,,Computer Software: Prepackaged Software
68,73,75,NTAP,NTAP,netapp,NetApp,netapp,1,,,Electronic Components
69,74,76,VMW,VMW,vmware,VMware,vmware,1,vmware also owns pivotal,,Computer Software: Prepackaged Software
70,76,78,FEYE,FEYE,fireeye inc,FireEye,fireeye,0,referred to in the official site,,Computer Software: Prepackaged Software
71,77,79,PI,PI,impinj,Impinj,impinj,1,,,Telecommunications Equipment
72,78,80,EXTR,EXTR,extreme networks,Extreme Networks,extremenetworks,1,,,Telecommunications Equipment
73,79,81,TSLA,TSLA,ericsson nikola tesla,Tesla Inc,teslamotors,1,,,Auto Manufacturing
74,80,82,BB,BB,blackberry limited,BlackBerry Limited,blackberry,0,referred to in the official site,,
75,82,84,BIDU,BIDU,baidu,Baidu,baidu,0,,,Computer Software: Programming Data Processing
76,83,85,ZM,ZM,zoom,Zoom Video Communications Inc,zoom,1,,,Telecommunications Equipment
77,84,86,FB,FB,facebook,Facebook Inc. Common Stock,facebook,1,,,Internet and Information Services
78,85,87,GOOGL,GOOGL,google,Alphabet Inc Class A,google,1,,,Internet and Information Services
79,87,89,TWTR,TWTR,twitter,Twitter Inc. Common Stock,twitter,0,referred to in the official site,https://twitter.github.io/projects/,EDP Services
80,88,90,YELP,YELP,yelp,Yelp Inc. Common Stock,yelp,0,referred to in the official site ,https://www.yelp.com/engineering,Internet and Information Services
81,89,91,SPOT,SPOT,spotify,Spotify Technology S.A. Ordinary Shares ,spotify,0,referred to in the official site,https://spotify.github.io/,Broadcasting
